country,long,lat
Mexico,-102.5328674481260,23.9504642310912
Moldova,28.5741781104524,47.1938708692964
Monaco,7.4128213871937,43.7479808631013
Mongolia,103.0832178011070,46.8352906606684
Montenegro,19.2507340776716,42.7904432662241
Montserrat,-62.1916845999998,16.7417043000000
Morocco,-6.0170727273287,32.3507513130338
Mozambique,34.7501973908725,-18.0874664869235
Myanmar,96.5069211391735,21.1543188078769
Namibia,17.2887615554773,-21.2010102346557
Nepal,83.9385480132428,28.2530072798101
Netherlands,5.6134906116859,51.9724664894952
New Caledonia,165.7154892072420,-21.3163377992766
New Zealand,171.7799001959370,-41.8388752215127
Nicaragua,-84.9199411471587,12.3355420743792
Niger,8.1053064096079,9.5939598869557
Nigeria,8.1053064096079,9.5939598869557
North America,-74.3774000000000,40.6001000000000
